Ticker,Name,Sector
7203,TOYOTA MOTOR CORP,Consumer Discretionary
9984,SOFTBANK GROUP CORP,Telecommunications
8306,MITSUBISHI UFJ FINANCIAL GROUP INC,Financials
6758,SONY CORP,Consumer Discretionary
8316,SUMITOMO MITSUI FINANCIAL GROUP IN,Financials
6861,KEYENCE CORP,Information Technology
9433,KDDI CORP,Telecommunications
7267,HONDA MOTOR LTD,Consumer Discretionary
8411,MIZUHO FINANCIAL GROUP INC,Financials
7974,NINTENDO LTD,Information Technology
6954,FANUC CORP,Industrials
8058,MITSUBISHI CORP,Industrials
4452,KAO CORP,Consumer Staples
9437,NTT DOCOMO INC,Telecommunications
4063,SHIN ETSU CHEMICAL LTD,Materials
6594,NIDEC CORP,Industrials
6501,HITACHI LTD,Information Technology
6981,MURATA MANUFACTURING LTD,Information Technology
4503,ASTELLAS PHARMA INC,Health Care
6098,RECRUIT HOLDINGS LTD,Industrials
7751,CANON INC,Information Technology
8766,TOKIO MARINE HOLDINGS INC,Financials
9432,NIPPON TELEGRAPH AND TELEPHONE COR,Telecommunications
3382,SEVEN & I HOLDINGS LTD,Consumer Staples
4502,TAKEDA PHARMACEUTICAL LTD,Health Care
9020,EAST JAPAN RAILWAY,Industrials
2914,JAPAN TOBACCO INC,Consumer Staples
9022,CENTRAL JAPAN RAILWAY,Industrials
8031,MITSUI LTD,Industrials
6752,PANASONIC CORP,Consumer Discretionary
6367,DAIKIN INDUSTRIES LTD,Industrials
9983,FAST RETAILING LTD,Consumer Discretionary
4911,SHISEIDO LTD,Consumer Staples
8035,TOKYO ELECTRON LTD,Information Technology
6301,KOMATSU LTD,Industrials
8001,ITOCHU CORP,Industrials
4523,EISAI LTD,Health Care
6503,MITSUBISHI ELECTRIC CORP,Industrials
7741,HOYA CORP,Health Care
4568,DAIICHI SANKYO LTD,Health Care
5020,JXTG HOLDINGS INC,Energy
5108,BRIDGESTONE CORP,Consumer Discretionary
2503,KIRIN HOLDINGS LTD,Consumer Staples
6902,DENSO CORP,Consumer Discretionary
7201,NISSAN MOTOR LTD,Consumer Discretionary
8801,MITSUI FUDOSAN LTD,Real Estate
8591,ORIX CORP,Financials
4661,ORIENTAL LAND LTD,Consumer Discretionary
8802,MITSUBISHI ESTATE CO LTD,Real Estate
6502,TOSHIBA CORP,Industrials
7269,SUZUKI MOTOR CORP,Consumer Discretionary
8750,DAI-ICHI LIFE HOLDINGS INC,Financials
1925,DAIWA HOUSE INDUSTRY LTD,Real Estate
8053,SUMITOMO CORP,Industrials
4578,OTSUKA HOLDINGS LTD,Health Care
6273,SMC (JAPAN) CORP,Industrials
6971,KYOCERA CORP,Information Technology
4543,TERUMO CORP,Health Care
2502,ASAHI GROUP HOLDINGS LTD,Consumer Staples
6178,JAPAN POST HOLDINGS LTD,Financials
7270,SUBARU CORP,Consumer Discretionary
8604,NOMURA HOLDINGS INC,Financials
3407,ASAHI KASEI CORP,Materials
6326,KUBOTA CORP,Industrials
4901,FUJIFILM HOLDINGS CORP,Information Technology
9735,SECOM LTD,Industrials
6869,SYSMEX CORP,Health Care
8830,SUMITOMO REALTY & DEVELOPMENT LTD,Real Estate
4507,SHIONOGI LTD,Health Care
5401,NIPPON STEEL & SUMITOMO METAL CORP,Materials
8725,MS&AD INSURANCE GROUP HOLDINGS INC,Financials
6702,FUJITSU LTD,Information Technology
6762,TDK CORP,Information Technology
1878,DAITO TRUST CONSTRUCTION LTD TRUST,Real Estate
8309,SUMITOMO MITSUI TRUST HOLDINGS INC,Financials
8630,SOMPO HOLDINGS INC,Financials
8267,AEON LTD,Consumer Staples
8113,UNICHARM CORP,Consumer Staples
8002,MARUBENI CORP,Industrials
9843,NITORI HOLDINGS LTD,Consumer Discretionary
4519,CHUGAI PHARMACEUTICAL LTD,Health Care
7011,MITSUBISHI HEAVY INDUSTRIES LTD,Industrials
7309,SHIMANO INC,Consumer Discretionary
6988,NITTO DENKO CORP,Materials
8308,RESONA HOLDINGS INC,Financials
5802,SUMITOMO ELECTRIC INDUSTRIES LTD,Consumer Discretionary
9021,WEST JAPAN RAILWAY,Industrials
7733,OLYMPUS CORP,Health Care
1801,TAISEI CORP,Industrials
4188,MITSUBISHI CHEMICAL CORP,Materials
1605,INPEX CORP,Energy
6586,MAKITA CORP,Industrials
3402,TORAY INDUSTRIES INC,Materials
9503,KANSAI ELECTRIC POWER INC,Utilities
9531,TOKYO GAS LTD,Utilities
1928,SEKISUI HOUSE LTD,Consumer Discretionary
9064,YAMATO HOLDINGS LTD,Industrials
2269,MEIJI HOLDINGS LTD,Consumer Staples
4324,DENTSU INC,Consumer Discretionary
8601,DAIWA SECURITIES GROUP INC,Financials
8697,JAPAN EXCHANGE GROUP INC,Financials
9042,HANKYU HANSHIN HOLDINGS INC,Industrials
5411,JFE HOLDINGS INC,Materials
9502,CHUBU ELECTRIC POWER INC,Utilities
6645,OMRON CORP,Information Technology
JPY,JPY CASH,Cash and/or Derivatives
2802,AJINOMOTO INC,Consumer Staples
4005,SUMITOMO CHEMICAL LTD,Materials
6201,TOYOTA INDUSTRIES CORP,Consumer Discretionary
4528,ONO PHARMACEUTICAL LTD,Health Care
5713,SUMITOMO METAL MINING LTD,Materials
3092,START TODAY LTD,Consumer Discretionary
6701,NEC CORP,Information Technology
8795,T&D HOLDINGS INC,Financials
7832,BANDAI NAMCO HOLDINGS INC,Consumer Discretionary
2267,YAKULT HONSHA LTD,Consumer Staples
6506,YASKAWA ELECTRIC CORP,Information Technology
9005,TOKYU CORP,Industrials
2413,M3 INC,Health Care
5201,AGC INC,Industrials
6723,RENESAS ELECTRONICS CORP,Information Technology
7276,KOITO MANUFACTURING LTD,Consumer Discretionary
6963,ROHM LTD,Information Technology
7453,RYOHIN KEIKAKU LTD,Consumer Discretionary
2801,KIKKOMAN CORP,Consumer Staples
7272,YAMAHA MOTOR LTD,Consumer Discretionary
7259,AISIN SEIKI LTD,Consumer Discretionary
7951,YAMAHA CORP,Consumer Discretionary
7202,ISUZU MOTORS LTD,Consumer Discretionary
9962,MISUMI GROUP INC,Industrials
8028,FAMILYMART UNY HOLDINGS LTD,Consumer Staples
9613,NTT DATA CORP,Information Technology
9532,OSAKA GAS LTD,Utilities
8951,NIPPON BUILDING FUND REIT INC,Real Estate
